frame_num,predicted_count,ground_truth_count,abs_error,squared_error,MAE,RMSE
0,62,61,1,1,1,1
1,61,61,0,0,0,0
2,62,61,1,1,1,1
3,60,61,1,1,1,1
4,62,61,1,1,1,1
5,62,61,1,1,1,1
6,62,61,1,1,1,1
7,61,61,0,0,0,0
8,62,61,1,1,1,1
9,62,61,1,1,1,1
10,62,61,1,1,1,1
11,60,61,1,1,1,1
12,61,61,0,0,0,0
13,62,61,1,1,1,1
14,62,61,1,1,1,1
15,62,61,1,1,1,1
16,64,61,3,9,3,9
17,63,61,2,4,2,4
18,62,61,1,1,1,1
19,61,61,0,0,0,0
20,61,61,0,0,0,0
21,62,61,1,1,1,1
22,64,61,3,9,3,9
23,62,61,1,1,1,1
24,63,61,2,4,2,4
25,64,61,3,9,3,9
26,63,61,2,4,2,4
27,62,61,1,1,1,1
28,63,61,2,4,2,4
29,64,61,3,9,3,9
30,64,61,3,9,3,9
31,65,61,4,16,4,16
32,64,61,3,9,3,9
33,63,61,2,4,2,4
34,63,61,2,4,2,4
35,63,61,2,4,2,4
36,63,61,2,4,2,4
37,63,61,2,4,2,4
38,63,61,2,4,2,4
39,64,61,3,9,3,9
40,64,61,3,9,3,9
41,65,61,4,16,4,16
42,64,61,3,9,3,9
43,64,61,3,9,3,9
44,65,61,4,16,4,16
45,64,61,3,9,3,9
46,65,61,4,16,4,16
47,67,61,6,36,6,36
48,67,61,6,36,6,36
49,66,61,5,25,5,25
50,66,61,5,25,5,25
51,66,61,5,25,5,25
52,66,61,5,25,5,25
53,66,61,5,25,5,25
54,66,61,5,25,5,25
55,65,61,4,16,4,16
56,66,61,5,25,5,25
57,67,61,6,36,6,36
58,65,61,4,16,4,16
59,64,61,3,9,3,9
60,64,61,3,9,3,9
61,64,61,3,9,3,9
62,65,61,4,16,4,16
63,65,61,4,16,4,16
64,64,61,3,9,3,9
65,64,61,3,9,3,9
66,64,61,3,9,3,9
67,64,61,3,9,3,9
68,64,61,3,9,3,9
69,64,61,3,9,3,9
70,64,61,3,9,3,9
71,64,61,3,9,3,9
72,65,61,4,16,4,16
73,64,61,3,9,3,9
74,64,61,3,9,3,9
75,65,61,4,16,4,16
76,65,61,4,16,4,16
77,62,61,1,1,1,1
78,63,61,2,4,2,4
79,63,61,2,4,2,4
80,64,61,3,9,3,9
81,64,62,2,4,2,4
82,64,62,2,4,2,4
83,66,62,4,16,4,16
84,66,62,4,16,4,16
85,66,62,4,16,4,16
86,66,62,4,16,4,16
87,66,62,4,16,4,16
88,67,62,5,25,5,25
89,66,62,4,16,4,16
90,65,62,3,9,3,9
91,67,62,5,25,5,25
92,66,62,4,16,4,16
93,66,62,4,16,4,16
94,66,62,4,16,4,16
95,65,62,3,9,3,9
96,65,62,3,9,3,9
97,65,62,3,9,3,9
98,66,62,4,16,4,16
99,66,62,4,16,4,16
100,65,63,2,4,2,4
101,66,63,3,9,3,9
102,66,63,3,9,3,9
103,66,63,3,9,3,9
104,66,63,3,9,3,9
105,67,63,4,16,4,16
106,66,63,3,9,3,9
107,67,63,4,16,4,16
108,66,63,3,9,3,9
109,67,63,4,16,4,16
110,67,63,4,16,4,16
111,67,63,4,16,4,16
112,67,63,4,16,4,16
113,67,63,4,16,4,16
114,67,63,4,16,4,16
115,67,65,2,4,2,4
116,67,65,2,4,2,4
117,67,65,2,4,2,4
118,66,65,1,1,1,1
119,67,65,2,4,2,4
120,68,65,3,9,3,9
121,69,65,4,16,4,16
122,69,65,4,16,4,16
123,69,65,4,16,4,16
124,69,65,4,16,4,16
125,67,65,2,4,2,4
126,68,65,3,9,3,9
127,67,65,2,4,2,4
128,69,65,4,16,4,16
129,67,65,2,4,2,4
130,68,65,3,9,3,9
131,67,65,2,4,2,4
132,68,65,3,9,3,9
133,65,65,0,0,0,0
134,65,65,0,0,0,0
135,65,65,0,0,0,0
136,67,65,2,4,2,4
137,66,65,1,1,1,1
138,66,65,1,1,1,1
139,68,65,3,9,3,9
140,66,65,1,1,1,1
