frame_num,predicted_count,ground_truth_count,abs_error,squared_error,MAE,RMSE
0,57,61,4,16,4,16
1,57,61,4,16,4,16
2,57,61,4,16,4,16
3,56,61,5,25,5,25
4,56,61,5,25,5,25
5,56,61,5,25,5,25
6,56,61,5,25,5,25
7,56,61,5,25,5,25
8,57,61,4,16,4,16
9,56,61,5,25,5,25
10,57,61,4,16,4,16
11,56,61,5,25,5,25
12,59,61,2,4,2,4
13,58,61,3,9,3,9
14,57,61,4,16,4,16
15,58,61,3,9,3,9
16,58,61,3,9,3,9
17,58,61,3,9,3,9
18,59,61,2,4,2,4
19,59,61,2,4,2,4
20,58,61,3,9,3,9
21,58,61,3,9,3,9
22,59,61,2,4,2,4
23,59,61,2,4,2,4
24,58,61,3,9,3,9
25,57,61,4,16,4,16
26,59,61,2,4,2,4
27,60,61,1,1,1,1
28,61,61,0,0,0,0
29,59,61,2,4,2,4
30,59,61,2,4,2,4
31,60,61,1,1,1,1
32,61,61,0,0,0,0
33,61,61,0,0,0,0
34,61,61,0,0,0,0
35,60,61,1,1,1,1
36,58,61,3,9,3,9
37,60,61,1,1,1,1
38,60,61,1,1,1,1
39,61,61,0,0,0,0
40,62,61,1,1,1,1
41,62,61,1,1,1,1
42,60,61,1,1,1,1
43,61,61,0,0,0,0
44,61,61,0,0,0,0
45,60,61,1,1,1,1
46,60,61,1,1,1,1
47,60,61,1,1,1,1
48,62,61,1,1,1,1
49,61,61,0,0,0,0
50,63,61,2,4,2,4
51,62,61,1,1,1,1
52,63,61,2,4,2,4
53,60,61,1,1,1,1
54,62,61,1,1,1,1
55,60,61,1,1,1,1
56,62,61,1,1,1,1
57,62,61,1,1,1,1
58,62,61,1,1,1,1
59,61,61,0,0,0,0
60,59,61,2,4,2,4
61,60,61,1,1,1,1
62,60,61,1,1,1,1
63,62,61,1,1,1,1
64,61,61,0,0,0,0
65,62,61,1,1,1,1
66,62,61,1,1,1,1
67,62,61,1,1,1,1
68,64,61,3,9,3,9
69,64,61,3,9,3,9
70,63,61,2,4,2,4
71,64,61,3,9,3,9
72,61,61,0,0,0,0
73,62,61,1,1,1,1
74,62,61,1,1,1,1
75,64,61,3,9,3,9
76,63,61,2,4,2,4
77,62,61,1,1,1,1
78,63,61,2,4,2,4
79,62,61,1,1,1,1
80,64,61,3,9,3,9
81,62,62,0,0,0,0
82,63,62,1,1,1,1
83,63,62,1,1,1,1
84,63,62,1,1,1,1
85,62,62,0,0,0,0
86,64,62,2,4,2,4
87,62,62,0,0,0,0
88,63,62,1,1,1,1
89,61,62,1,1,1,1
90,60,62,2,4,2,4
91,61,62,1,1,1,1
92,61,62,1,1,1,1
93,60,62,2,4,2,4
94,60,62,2,4,2,4
95,58,62,4,16,4,16
96,59,62,3,9,3,9
97,57,62,5,25,5,25
98,62,62,0,0,0,0
99,61,62,1,1,1,1
100,60,63,3,9,3,9
101,64,63,1,1,1,1
102,60,63,3,9,3,9
103,62,63,1,1,1,1
104,63,63,0,0,0,0
105,63,63,0,0,0,0
106,62,63,1,1,1,1
107,63,63,0,0,0,0
108,62,63,1,1,1,1
109,63,63,0,0,0,0
110,63,63,0,0,0,0
111,65,63,2,4,2,4
112,62,63,1,1,1,1
113,64,63,1,1,1,1
114,64,63,1,1,1,1
115,63,65,2,4,2,4
116,63,65,2,4,2,4
117,64,65,1,1,1,1
118,62,65,3,9,3,9
119,63,65,2,4,2,4
120,62,65,3,9,3,9
121,62,65,3,9,3,9
122,62,65,3,9,3,9
123,61,65,4,16,4,16
124,61,65,4,16,4,16
125,61,65,4,16,4,16
126,59,65,6,36,6,36
127,61,65,4,16,4,16
128,62,65,3,9,3,9
129,62,65,3,9,3,9
130,60,65,5,25,5,25
131,60,65,5,25,5,25
132,59,65,6,36,6,36
133,58,65,7,49,7,49
134,58,65,7,49,7,49
135,59,65,6,36,6,36
136,61,65,4,16,4,16
137,60,65,5,25,5,25
138,60,65,5,25,5,25
139,61,65,4,16,4,16
140,62,65,3,9,3,9
141,62,66,4,16,4,16
142,61,66,5,25,5,25
143,61,66,5,25,5,25
144,61,66,5,25,5,25
145,62,66,4,16,4,16
146,62,66,4,16,4,16
147,62,66,4,16,4,16
148,62,66,4,16,4,16
149,62,66,4,16,4,16
150,61,66,5,25,5,25
151,61,66,5,25,5,25
152,61,66,5,25,5,25
153,60,66,6,36,6,36
154,58,66,8,64,8,64
155,57,66,9,81,9,81
156,59,66,7,49,7,49
157,59,66,7,49,7,49
158,58,66,8,64,8,64
159,58,66,8,64,8,64
160,60,66,6,36,6,36
161,59,66,7,49,7,49
162,58,66,8,64,8,64
163,59,66,7,49,7,49
164,57,66,9,81,9,81
165,58,66,8,64,8,64
166,61,66,5,25,5,25
167,60,66,6,36,6,36
168,62,66,4,16,4,16
169,62,66,4,16,4,16
170,62,66,4,16,4,16
171,62,66,4,16,4,16
172,62,66,4,16,4,16
173,62,66,4,16,4,16
174,60,66,6,36,6,36
