frame_num,predicted_count,ground_truth_count,abs_error,squared_error,MAE,RMSE
0,61,61,0,0,0,0
1,61,61,0,0,0,0
2,61,61,0,0,0,0
3,61,61,0,0,0,0
4,61,61,0,0,0,0
5,61,61,0,0,0,0
6,61,61,0,0,0,0
7,61,61,0,0,0,0
8,61,61,0,0,0,0
9,61,61,0,0,0,0
10,61,61,0,0,0,0
11,61,61,0,0,0,0
12,61,61,0,0,0,0
13,61,61,0,0,0,0
14,61,61,0,0,0,0
15,61,61,0,0,0,0
16,61,61,0,0,0,0
17,61,61,0,0,0,0
18,61,61,0,0,0,0
19,61,61,0,0,0,0
20,61,61,0,0,0,0
21,61,61,0,0,0,0
22,61,61,0,0,0,0
23,61,61,0,0,0,0
24,61,61,0,0,0,0
25,61,61,0,0,0,0
26,61,61,0,0,0,0
27,61,61,0,0,0,0
28,61,61,0,0,0,0
29,62,61,1,1,1,1
30,61,61,0,0,0,0
31,61,61,0,0,0,0
32,61,61,0,0,0,0
33,61,61,0,0,0,0
34,61,61,0,0,0,0
35,61,61,0,0,0,0
36,61,61,0,0,0,0
37,61,61,0,0,0,0
38,62,61,1,1,1,1
39,61,61,0,0,0,0
40,61,61,0,0,0,0
41,61,61,0,0,0,0
42,61,61,0,0,0,0
43,61,61,0,0,0,0
44,61,61,0,0,0,0
45,61,61,0,0,0,0
46,60,61,1,1,1,1
47,59,61,2,4,2,4
48,61,61,0,0,0,0
49,61,61,0,0,0,0
50,60,61,1,1,1,1
51,60,61,1,1,1,1
52,60,61,1,1,1,1
53,60,61,1,1,1,1
54,60,61,1,1,1,1
55,60,61,1,1,1,1
56,60,61,1,1,1,1
57,60,61,1,1,1,1
58,60,61,1,1,1,1
59,61,61,0,0,0,0
60,62,61,1,1,1,1
61,61,61,0,0,0,0
62,61,61,0,0,0,0
63,61,61,0,0,0,0
64,60,61,1,1,1,1
65,60,61,1,1,1,1
66,59,61,2,4,2,4
67,60,61,1,1,1,1
68,60,61,1,1,1,1
69,61,61,0,0,0,0
70,60,61,1,1,1,1
71,60,61,1,1,1,1
72,60,61,1,1,1,1
73,60,61,1,1,1,1
74,61,61,0,0,0,0
75,60,61,1,1,1,1
76,61,61,0,0,0,0
77,61,61,0,0,0,0
78,61,61,0,0,0,0
79,61,61,0,0,0,0
80,61,61,0,0,0,0
81,61,62,1,1,1,1
82,61,62,1,1,1,1
83,61,62,1,1,1,1
84,61,62,1,1,1,1
85,61,62,1,1,1,1
86,61,62,1,1,1,1
87,62,62,0,0,0,0
88,61,62,1,1,1,1
89,61,62,1,1,1,1
90,61,62,1,1,1,1
91,61,62,1,1,1,1
92,61,62,1,1,1,1
93,62,62,0,0,0,0
94,62,62,0,0,0,0
95,62,62,0,0,0,0
96,62,62,0,0,0,0
97,62,62,0,0,0,0
98,62,62,0,0,0,0
99,62,62,0,0,0,0
100,62,63,1,1,1,1
101,63,63,0,0,0,0
102,61,63,2,4,2,4
103,61,63,2,4,2,4
104,61,63,2,4,2,4
105,63,63,0,0,0,0
106,62,63,1,1,1,1
107,63,63,0,0,0,0
108,63,63,0,0,0,0
109,63,63,0,0,0,0
110,63,63,0,0,0,0
111,63,63,0,0,0,0
112,64,63,1,1,1,1
113,64,63,1,1,1,1
114,64,63,1,1,1,1
115,64,65,1,1,1,1
116,64,65,1,1,1,1
117,64,65,1,1,1,1
118,62,65,3,9,3,9
119,63,65,2,4,2,4
120,64,65,1,1,1,1
121,63,65,2,4,2,4
122,62,65,3,9,3,9
123,63,65,2,4,2,4
124,64,65,1,1,1,1
125,64,65,1,1,1,1
126,64,65,1,1,1,1
127,63,65,2,4,2,4
128,65,65,0,0,0,0
129,65,65,0,0,0,0
130,66,65,1,1,1,1
131,66,65,1,1,1,1
132,65,65,0,0,0,0
133,64,65,1,1,1,1
134,63,65,2,4,2,4
135,65,65,0,0,0,0
136,66,65,1,1,1,1
137,64,65,1,1,1,1
138,63,65,2,4,2,4
139,63,65,2,4,2,4
140,63,65,2,4,2,4
141,63,66,3,9,3,9
142,63,66,3,9,3,9
143,63,66,3,9,3,9
144,64,66,2,4,2,4
145,68,66,2,4,2,4
146,66,66,0,0,0,0
147,67,66,1,1,1,1
148,63,66,3,9,3,9
149,65,66,1,1,1,1
150,66,66,0,0,0,0
151,62,66,4,16,4,16
152,64,66,2,4,2,4
153,64,66,2,4,2,4
154,64,66,2,4,2,4
155,65,66,1,1,1,1
156,65,66,1,1,1,1
157,66,66,0,0,0,0
158,66,66,0,0,0,0
159,66,66,0,0,0,0
160,67,66,1,1,1,1
161,66,66,0,0,0,0
162,63,66,3,9,3,9
163,65,66,1,1,1,1
164,63,66,3,9,3,9
165,67,66,1,1,1,1
166,65,66,1,1,1,1
167,67,66,1,1,1,1
168,64,66,2,4,2,4
169,64,66,2,4,2,4
170,65,66,1,1,1,1
171,65,66,1,1,1,1
172,63,66,3,9,3,9
173,63,66,3,9,3,9
174,66,66,0,0,0,0
175,65,66,1,1,1,1
176,67,66,1,1,1,1
177,67,66,1,1,1,1
178,64,66,2,4,2,4
179,66,66,0,0,0,0
180,65,66,1,1,1,1
181,66,66,0,0,0,0
182,66,66,0,0,0,0
183,65,66,1,1,1,1
184,64,66,2,4,2,4
185,65,66,1,1,1,1
186,66,66,0,0,0,0
187,67,66,1,1,1,1
188,66,66,0,0,0,0
189,67,66,1,1,1,1
190,65,66,1,1,1,1
191,63,66,3,9,3,9
192,67,66,1,1,1,1
193,70,66,4,16,4,16
194,66,66,0,0,0,0
195,66,66,0,0,0,0
196,65,66,1,1,1,1
197,65,66,1,1,1,1
198,68,66,2,4,2,4
199,66,66,0,0,0,0
200,67,66,1,1,1,1
201,65,66,1,1,1,1
202,67,66,1,1,1,1
