frame_num,predicted_count,ground_truth_count,abs_error,squared_error,MAE,RMSE
0,60,61,1,1,1,1
1,60,61,1,1,1,1
2,60,61,1,1,1,1
3,60,61,1,1,1,1
4,60,61,1,1,1,1
5,60,61,1,1,1,1
6,60,61,1,1,1,1
7,60,61,1,1,1,1
8,60,61,1,1,1,1
9,60,61,1,1,1,1
10,60,61,1,1,1,1
11,60,61,1,1,1,1
12,60,61,1,1,1,1
13,60,61,1,1,1,1
14,60,61,1,1,1,1
15,60,61,1,1,1,1
16,60,61,1,1,1,1
17,60,61,1,1,1,1
18,61,61,0,0,0,0
19,60,61,1,1,1,1
20,60,61,1,1,1,1
21,60,61,1,1,1,1
22,60,61,1,1,1,1
23,60,61,1,1,1,1
24,61,61,0,0,0,0
25,60,61,1,1,1,1
26,60,61,1,1,1,1
27,60,61,1,1,1,1
28,60,61,1,1,1,1
29,60,61,1,1,1,1
30,60,61,1,1,1,1
31,61,61,0,0,0,0
32,61,61,0,0,0,0
33,60,61,1,1,1,1
34,60,61,1,1,1,1
35,60,61,1,1,1,1
36,60,61,1,1,1,1
37,60,61,1,1,1,1
38,60,61,1,1,1,1
39,60,61,1,1,1,1
40,60,61,1,1,1,1
41,60,61,1,1,1,1
42,60,61,1,1,1,1
43,60,61,1,1,1,1
44,60,61,1,1,1,1
45,60,61,1,1,1,1
46,60,61,1,1,1,1
47,60,61,1,1,1,1
48,59,61,2,4,2,4
49,60,61,1,1,1,1
50,60,61,1,1,1,1
51,60,61,1,1,1,1
52,60,61,1,1,1,1
53,61,61,0,0,0,0
54,60,61,1,1,1,1
55,60,61,1,1,1,1
56,60,61,1,1,1,1
57,60,61,1,1,1,1
58,60,61,1,1,1,1
59,60,61,1,1,1,1
60,60,61,1,1,1,1
61,60,61,1,1,1,1
62,61,61,0,0,0,0
63,61,61,0,0,0,0
64,60,61,1,1,1,1
65,60,61,1,1,1,1
66,60,61,1,1,1,1
67,60,61,1,1,1,1
68,60,61,1,1,1,1
69,60,61,1,1,1,1
70,60,61,1,1,1,1
71,60,61,1,1,1,1
72,60,61,1,1,1,1
73,61,61,0,0,0,0
74,61,61,0,0,0,0
75,60,61,1,1,1,1
76,61,61,0,0,0,0
77,61,61,0,0,0,0
78,61,61,0,0,0,0
79,61,61,0,0,0,0
80,61,61,0,0,0,0
81,61,62,1,1,1,1
82,61,62,1,1,1,1
83,61,62,1,1,1,1
84,61,62,1,1,1,1
85,61,62,1,1,1,1
86,61,62,1,1,1,1
87,61,62,1,1,1,1
88,62,62,0,0,0,0
89,61,62,1,1,1,1
90,62,62,0,0,0,0
91,60,62,2,4,2,4
92,61,62,1,1,1,1
93,61,62,1,1,1,1
94,61,62,1,1,1,1
95,61,62,1,1,1,1
96,60,62,2,4,2,4
97,61,62,1,1,1,1
98,61,62,1,1,1,1
99,60,62,2,4,2,4
100,61,63,2,4,2,4
101,62,63,1,1,1,1
102,60,63,3,9,3,9
103,61,63,2,4,2,4
104,61,63,2,4,2,4
105,61,63,2,4,2,4
106,60,63,3,9,3,9
107,60,63,3,9,3,9
108,62,63,1,1,1,1
109,61,63,2,4,2,4
110,62,63,1,1,1,1
111,62,63,1,1,1,1
