track_id,rack_id,class_id,class_name
,,,
14.0,Rack_1,1.0,a&w_small
56.0,Rack_1,1.0,a&w_small
55.0,Rack_1,1.0,a&w_small
49.0,Rack_1,1.0,a&w_small
52.0,Rack_1,1.0,a&w_small
42.0,Rack_1,1.0,a&w_small
59.0,Rack_1,1.0,a&w_small
35.0,Rack_1,4.0,coke_small
36.0,Rack_1,4.0,coke_small
37.0,Rack_1,4.0,coke_small
47.0,Rack_1,4.0,coke_small
46.0,Rack_1,4.0,coke_small
18.0,Rack_1,4.0,coke_small
41.0,Rack_1,17.0,sprite_small
51.0,Rack_1,17.0,sprite_small
32.0,Rack_1,17.0,sprite_small
28.0,Rack_1,17.0,sprite_small
empty,Rack_1,empty,empty
empty,Rack_1,empty,empty
empty,Rack_1,empty,empty
empty,Rack_1,empty,empty
empty,Rack_1,empty,empty
empty,Rack_1,empty,empty
38.0,Rack_1,0.0,7up_med
34.0,Rack_1,0.0,7up_med
53.0,Rack_1,0.0,7up_med
58.0,Rack_1,0.0,7up_med
75.0,Rack_1,0.0,7up_med
82.0,Rack_1,0.0,7up_med
,,,
15.0,Rack_2,3.0,coke_med
39.0,Rack_2,3.0,coke_med
13.0,Rack_2,3.0,coke_med
40.0,Rack_2,3.0,coke_med
1.0,Rack_2,3.0,coke_med
57.0,Rack_2,6.0,coke_v_med
19.0,Rack_2,6.0,coke_v_med
29.0,Rack_2,6.0,coke_v_med
33.0,Rack_2,2.0,anw_med
11.0,Rack_2,2.0,anw_med
20.0,Rack_2,2.0,anw_med
3.0,Rack_2,2.0,anw_med
9.0,Rack_2,2.0,anw_med
2.0,Rack_2,2.0,anw_med
50.0,Rack_2,15.0,pepsi_med
7.0,Rack_2,15.0,pepsi_med
10.0,Rack_2,15.0,pepsi_med
5.0,Rack_2,15.0,pepsi_med
8.0,Rack_2,15.0,pepsi_med
17.0,Rack_2,15.0,pepsi_med
4.0,Rack_2,13.0,kick_med
44.0,Rack_2,13.0,kick_med
22.0,Rack_2,13.0,kick_med
26.0,Rack_2,13.0,kick_med
71.0,Rack_2,13.0,kick_med
79.0,Rack_2,13.0,kick_med
90.0,Rack_2,13.0,kick_med
,,,
empty,Rack_3,empty,empty
27.0,Rack_3,7.0,coke_z_big
6.0,Rack_3,7.0,coke_z_big
24.0,Rack_3,5.0,coke_v_big
31.0,Rack_3,5.0,coke_v_big
21.0,Rack_3,5.0,coke_v_big
30.0,Rack_3,5.0,coke_v_big
16.0,Rack_3,5.0,coke_v_big
43.0,Rack_3,14.0,pepsi_big
48.0,Rack_3,14.0,pepsi_big
54.0,Rack_3,14.0,pepsi_big
45.0,Rack_3,10.0,fanta_grape_big
60.0,Rack_3,10.0,fanta_grape_big
25.0,Rack_3,12.0,fanta_straw_big
61.0,Rack_3,10.0,fanta_grape_big
66.0,Rack_3,12.0,fanta_straw_big
88.0,Rack_3,11.0,fanta_lychee_big
