frame_num,predicted_count,ground_truth_count,abs_error,squared_error,MAE,RMSE
0,61,61,0,0,0,0
1,61,61,0,0,0,0
2,60,61,1,1,1,1
3,61,61,0,0,0,0
4,61,61,0,0,0,0
5,61,61,0,0,0,0
6,60,61,1,1,1,1
7,61,61,0,0,0,0
8,60,61,1,1,1,1
9,61,61,0,0,0,0
10,61,61,0,0,0,0
11,61,61,0,0,0,0
12,60,61,1,1,1,1
13,61,61,0,0,0,0
14,61,61,0,0,0,0
15,60,61,1,1,1,1
16,60,61,1,1,1,1
17,60,61,1,1,1,1
18,60,61,1,1,1,1
19,60,61,1,1,1,1
20,60,61,1,1,1,1
21,60,61,1,1,1,1
22,60,61,1,1,1,1
23,60,61,1,1,1,1
24,60,61,1,1,1,1
25,60,61,1,1,1,1
26,60,61,1,1,1,1
27,61,61,0,0,0,0
28,61,61,0,0,0,0
29,60,61,1,1,1,1
30,60,61,1,1,1,1
31,60,61,1,1,1,1
32,61,61,0,0,0,0
33,60,61,1,1,1,1
34,61,61,0,0,0,0
35,61,61,0,0,0,0
36,61,61,0,0,0,0
37,60,61,1,1,1,1
38,61,61,0,0,0,0
39,61,61,0,0,0,0
40,61,61,0,0,0,0
41,60,61,1,1,1,1
42,59,61,2,4,2,4
43,61,61,0,0,0,0
44,60,61,1,1,1,1
45,59,61,2,4,2,4
46,60,61,1,1,1,1
47,60,61,1,1,1,1
48,60,61,1,1,1,1
49,60,61,1,1,1,1
50,60,61,1,1,1,1
51,60,61,1,1,1,1
52,60,61,1,1,1,1
53,60,61,1,1,1,1
54,60,61,1,1,1,1
55,60,61,1,1,1,1
56,60,61,1,1,1,1
57,60,61,1,1,1,1
58,60,61,1,1,1,1
59,60,61,1,1,1,1
60,61,61,0,0,0,0
61,61,61,0,0,0,0
62,61,61,0,0,0,0
63,61,61,0,0,0,0
64,61,61,0,0,0,0
65,61,61,0,0,0,0
66,61,61,0,0,0,0
67,61,61,0,0,0,0
68,61,61,0,0,0,0
69,61,61,0,0,0,0
70,61,61,0,0,0,0
71,61,61,0,0,0,0
72,61,61,0,0,0,0
73,61,61,0,0,0,0
74,61,61,0,0,0,0
75,62,61,1,1,1,1
76,62,61,1,1,1,1
77,62,61,1,1,1,1
78,62,61,1,1,1,1
79,62,61,1,1,1,1
80,62,61,1,1,1,1
81,61,62,1,1,1,1
82,61,62,1,1,1,1
83,61,62,1,1,1,1
84,61,62,1,1,1,1
85,61,62,1,1,1,1
86,61,62,1,1,1,1
87,61,62,1,1,1,1
88,61,62,1,1,1,1
89,61,62,1,1,1,1
90,61,62,1,1,1,1
91,60,62,2,4,2,4
92,60,62,2,4,2,4
93,61,62,1,1,1,1
94,60,62,2,4,2,4
95,60,62,2,4,2,4
96,61,62,1,1,1,1
97,60,62,2,4,2,4
98,61,62,1,1,1,1
99,61,62,1,1,1,1
100,62,63,1,1,1,1
101,62,63,1,1,1,1
102,61,63,2,4,2,4
103,62,63,1,1,1,1
104,62,63,1,1,1,1
105,61,63,2,4,2,4
106,62,63,1,1,1,1
107,62,63,1,1,1,1
108,63,63,0,0,0,0
109,61,63,2,4,2,4
110,62,63,1,1,1,1
111,63,63,0,0,0,0
112,62,63,1,1,1,1
113,63,63,0,0,0,0
114,63,63,0,0,0,0
115,63,65,2,4,2,4
116,63,65,2,4,2,4
117,62,65,3,9,3,9
118,63,65,2,4,2,4
119,63,65,2,4,2,4
120,63,65,2,4,2,4
121,64,65,1,1,1,1
122,64,65,1,1,1,1
123,65,65,0,0,0,0
124,65,65,0,0,0,0
125,65,65,0,0,0,0
126,65,65,0,0,0,0
127,65,65,0,0,0,0
128,64,65,1,1,1,1
129,64,65,1,1,1,1
130,64,65,1,1,1,1
131,64,65,1,1,1,1
132,64,65,1,1,1,1
133,64,65,1,1,1,1
134,63,65,2,4,2,4
135,63,65,2,4,2,4
136,64,65,1,1,1,1
137,63,65,2,4,2,4
138,63,65,2,4,2,4
139,62,65,3,9,3,9
140,63,65,2,4,2,4
141,62,66,4,16,4,16
142,63,66,3,9,3,9
143,63,66,3,9,3,9
144,65,66,1,1,1,1
145,64,66,2,4,2,4
146,65,66,1,1,1,1
147,65,66,1,1,1,1
148,66,66,0,0,0,0
149,64,66,2,4,2,4
150,64,66,2,4,2,4
151,63,66,3,9,3,9
152,64,66,2,4,2,4
153,63,66,3,9,3,9
154,65,66,1,1,1,1
155,65,66,1,1,1,1
156,65,66,1,1,1,1
157,64,66,2,4,2,4
158,65,66,1,1,1,1
159,65,66,1,1,1,1
160,65,66,1,1,1,1
161,66,66,0,0,0,0
162,64,66,2,4,2,4
163,65,66,1,1,1,1
164,66,66,0,0,0,0
165,65,66,1,1,1,1
166,64,66,2,4,2,4
167,64,66,2,4,2,4
168,64,66,2,4,2,4
169,64,66,2,4,2,4
170,64,66,2,4,2,4
171,65,66,1,1,1,1
172,64,66,2,4,2,4
173,65,66,1,1,1,1
174,66,66,0,0,0,0
175,65,66,1,1,1,1
176,64,66,2,4,2,4
177,63,66,3,9,3,9
178,64,66,2,4,2,4
179,65,66,1,1,1,1
180,63,66,3,9,3,9
181,65,66,1,1,1,1
182,64,66,2,4,2,4
183,67,66,1,1,1,1
184,67,66,1,1,1,1
185,67,66,1,1,1,1
186,66,66,0,0,0,0
187,66,66,0,0,0,0
188,67,66,1,1,1,1
189,65,66,1,1,1,1
190,65,66,1,1,1,1
191,65,66,1,1,1,1
192,66,66,0,0,0,0
193,66,66,0,0,0,0
194,66,66,0,0,0,0
195,65,66,1,1,1,1
196,64,66,2,4,2,4
197,66,66,0,0,0,0
198,66,66,0,0,0,0
199,65,66,1,1,1,1
200,66,66,0,0,0,0
201,66,66,0,0,0,0
202,66,66,0,0,0,0
