frame_num,predicted_count,ground_truth_count,abs_error,squared_error,MAE,RMSE
0,56,61,5,25,5,25
1,56,61,5,25,5,25
2,56,61,5,25,5,25
3,56,61,5,25,5,25
4,56,61,5,25,5,25
5,56,61,5,25,5,25
6,55,61,6,36,6,36
7,57,61,4,16,4,16
8,55,61,6,36,6,36
9,55,61,6,36,6,36
10,55,61,6,36,6,36
11,57,61,4,16,4,16
12,55,61,6,36,6,36
13,57,61,4,16,4,16
14,56,61,5,25,5,25
15,57,61,4,16,4,16
16,57,61,4,16,4,16
17,55,61,6,36,6,36
18,56,61,5,25,5,25
19,56,61,5,25,5,25
20,56,61,5,25,5,25
21,56,61,5,25,5,25
22,56,61,5,25,5,25
23,55,61,6,36,6,36
24,55,61,6,36,6,36
25,56,61,5,25,5,25
26,51,61,10,100,10,100
27,54,61,7,49,7,49
28,54,61,7,49,7,49
29,54,61,7,49,7,49
30,52,61,9,81,9,81
31,53,61,8,64,8,64
32,56,61,5,25,5,25
33,55,61,6,36,6,36
34,55,61,6,36,6,36
35,55,61,6,36,6,36
36,55,61,6,36,6,36
37,55,61,6,36,6,36
38,55,61,6,36,6,36
39,55,61,6,36,6,36
40,56,61,5,25,5,25
41,55,61,6,36,6,36
42,55,61,6,36,6,36
43,53,61,8,64,8,64
44,53,61,8,64,8,64
45,54,61,7,49,7,49
46,54,61,7,49,7,49
47,56,61,5,25,5,25
48,57,61,4,16,4,16
49,55,61,6,36,6,36
50,54,61,7,49,7,49
51,56,61,5,25,5,25
52,55,61,6,36,6,36
53,56,61,5,25,5,25
54,56,61,5,25,5,25
55,56,61,5,25,5,25
56,56,61,5,25,5,25
57,56,61,5,25,5,25
58,56,61,5,25,5,25
59,57,61,4,16,4,16
60,55,61,6,36,6,36
61,56,61,5,25,5,25
62,57,61,4,16,4,16
63,56,61,5,25,5,25
64,56,61,5,25,5,25
65,57,61,4,16,4,16
66,56,61,5,25,5,25
67,56,61,5,25,5,25
68,55,61,6,36,6,36
69,55,61,6,36,6,36
70,55,61,6,36,6,36
71,57,61,4,16,4,16
72,54,61,7,49,7,49
73,57,61,4,16,4,16
74,56,61,5,25,5,25
75,57,61,4,16,4,16
76,56,61,5,25,5,25
77,57,61,4,16,4,16
78,57,61,4,16,4,16
79,57,61,4,16,4,16
80,57,61,4,16,4,16
81,57,62,5,25,5,25
82,57,62,5,25,5,25
83,56,62,6,36,6,36
84,57,62,5,25,5,25
85,57,62,5,25,5,25
86,57,62,5,25,5,25
87,57,62,5,25,5,25
88,58,62,4,16,4,16
89,57,62,5,25,5,25
90,58,62,4,16,4,16
91,58,62,4,16,4,16
92,57,62,5,25,5,25
93,58,62,4,16,4,16
94,58,62,4,16,4,16
95,57,62,5,25,5,25
96,58,62,4,16,4,16
97,57,62,5,25,5,25
98,57,62,5,25,5,25
99,58,62,4,16,4,16
100,58,63,5,25,5,25
101,58,63,5,25,5,25
102,57,63,6,36,6,36
103,56,63,7,49,7,49
104,57,63,6,36,6,36
105,58,63,5,25,5,25
106,57,63,6,36,6,36
107,58,63,5,25,5,25
108,58,63,5,25,5,25
109,58,63,5,25,5,25
110,58,63,5,25,5,25
111,57,63,6,36,6,36
112,58,63,5,25,5,25
113,58,63,5,25,5,25
114,58,63,5,25,5,25
115,58,65,7,49,7,49
116,58,65,7,49,7,49
117,58,65,7,49,7,49
118,58,65,7,49,7,49
119,58,65,7,49,7,49
120,58,65,7,49,7,49
121,57,65,8,64,8,64
