track_id,rack_id,class_id,class_name
,,,
30.0,Rack_1,1.0,a&w_small
22.0,Rack_1,1.0,a&w_small
27.0,Rack_1,1.0,a&w_small
26.0,Rack_1,1.0,a&w_small
1.0,Rack_1,1.0,a&w_small
8.0,Rack_1,1.0,a&w_small
38.0,Rack_1,1.0,a&w_small
40.0,Rack_1,4.0,coke_small
50.0,Rack_1,4.0,coke_small
39.0,Rack_1,4.0,coke_small
51.0,Rack_1,4.0,coke_small
42.0,Rack_1,4.0,coke_small
41.0,Rack_1,4.0,coke_small
55.0,Rack_1,17.0,sprite_small
46.0,Rack_1,17.0,sprite_small
49.0,Rack_1,17.0,sprite_small
32.0,Rack_1,17.0,sprite_small
54.0,Rack_1,9.0,empty
,,,
43.0,Rack_2,3.0,coke_med
37.0,Rack_2,3.0,coke_med
34.0,Rack_2,3.0,coke_med
44.0,Rack_2,3.0,coke_med
56.0,Rack_2,6.0,coke_v_med
48.0,Rack_2,6.0,coke_v_med
29.0,Rack_2,6.0,coke_v_med
52.0,Rack_2,2.0,anw_med
28.0,Rack_2,2.0,anw_med
45.0,Rack_2,2.0,anw_med
36.0,Rack_2,2.0,anw_med
47.0,Rack_2,2.0,anw_med
25.0,Rack_2,2.0,anw_med
21.0,Rack_2,15.0,pepsi_med
2.0,Rack_2,15.0,pepsi_med
14.0,Rack_2,15.0,pepsi_med
5.0,Rack_2,15.0,pepsi_med
15.0,Rack_2,15.0,pepsi_med
33.0,Rack_2,15.0,pepsi_med
6.0,Rack_2,13.0,kick_med
13.0,Rack_2,13.0,kick_med
19.0,Rack_2,13.0,kick_med
35.0,Rack_2,13.0,kick_med
57.0,Rack_2,3.0,coke_med
60.0,Rack_2,13.0,kick_med
61.0,Rack_2,13.0,kick_med
62.0,Rack_2,13.0,kick_med
,,,
empty,Rack_3,empty,empty
31.0,Rack_3,7.0,coke_z_big
11.0,Rack_3,7.0,coke_z_big
17.0,Rack_3,5.0,coke_v_big
20.0,Rack_3,5.0,coke_v_big
18.0,Rack_3,5.0,coke_v_big
12.0,Rack_3,5.0,coke_v_big
7.0,Rack_3,5.0,coke_v_big
16.0,Rack_3,14.0,pepsi_big
9.0,Rack_3,14.0,pepsi_big
24.0,Rack_3,14.0,pepsi_big
4.0,Rack_3,10.0,fanta_grape_big
23.0,Rack_3,10.0,fanta_grape_big
53.0,Rack_3,10.0,fanta_grape_big
10.0,Rack_3,12.0,fanta_straw_big
59.0,Rack_3,12.0,fanta_straw_big
67.0,Rack_3,11.0,fanta_lychee_big
